index,buying,maint,doors,persons,lug_boot,safety,class
48,vhigh,vhigh,three,more,med,low,unacc
49,vhigh,vhigh,three,more,med,med,unacc
50,vhigh,vhigh,three,more,med,high,unacc
51,vhigh,vhigh,three,more,big,low,unacc
52,vhigh,vhigh,three,more,big,med,unacc
53,vhigh,vhigh,three,more,big,high,unacc
54,vhigh,vhigh,four,two,small,low,unacc
55,vhigh,vhigh,four,two,small,med,unacc
56,vhigh,vhigh,four,two,small,high,unacc
57,vhigh,vhigh,four,two,med,low,unacc
58,vhigh,vhigh,four,two,med,med,unacc
59,vhigh,vhigh,four,two,med,high,unacc
60,vhigh,vhigh,four,two,big,low,unacc
61,vhigh,vhigh,four,two,big,med,unacc
62,vhigh,vhigh,four,two,big,high,unacc
63,vhigh,vhigh,four,four,small,low,unacc
64,vhigh,vhigh,four,four,small,med,unacc
65,vhigh,vhigh,four,four,small,high,unacc
66,vhigh,vhigh,four,four,med,low,unacc
67,vhigh,vhigh,four,four,med,med,unacc
68,vhigh,vhigh,four,four,med,high,unacc
69,vhigh,vhigh,four,four,big,low,unacc
70,vhigh,vhigh,four,four,big,med,unacc
71,vhigh,vhigh,four,four,big,high,unacc
72,vhigh,vhigh,four,more,small,low,unacc
73,vhigh,vhigh,four,more,small,med,unacc
74,vhigh,vhigh,four,more,small,high,unacc
75,vhigh,vhigh,four,more,med,low,unacc
76,vhigh,vhigh,four,more,med,med,unacc
77,vhigh,vhigh,four,more,med,high,unacc
78,vhigh,vhigh,four,more,big,low,unacc
79,vhigh,vhigh,four,more,big,med,unacc
80,vhigh,vhigh,four,more,big,high,unacc
81,vhigh,vhigh,5more,two,small,low,unacc
82,vhigh,vhigh,5more,two,small,med,unacc
83,vhigh,vhigh,5more,two,small,high,unacc
84,vhigh,vhigh,5more,two,med,low,unacc
85,vhigh,vhigh,5more,two,med,med,unacc
86,vhigh,vhigh,5more,two,med,high,unacc
87,vhigh,vhigh,5more,two,big,low,unacc
88,vhigh,vhigh,5more,two,big,med,unacc
89,vhigh,vhigh,5more,two,big,high,unacc
90,vhigh,vhigh,5more,four,small,low,unacc
91,vhigh,vhigh,5more,four,small,med,unacc
92,vhigh,vhigh,5more,four,small,high,unacc
93,vhigh,vhigh,5more,four,med,low,unacc
94,vhigh,vhigh,5more,four,med,med,unacc
95,vhigh,vhigh,5more,four,med,high,unacc
96,vhigh,vhigh,5more,four,big,low,unacc
97,vhigh,vhigh,5more,four,big,med,unacc
98,vhigh,vhigh,5more,four,big,high,unacc
99,vhigh,vhigh,5more,more,small,low,unacc
100,vhigh,vhigh,5more,more,small,med,unacc
101,vhigh,vhigh,5more,more,small,high,unacc
102,vhigh,vhigh,5more,more,med,low,unacc
103,vhigh,vhigh,5more,more,med,med,unacc
104,vhigh,vhigh,5more,more,med,high,unacc
105,vhigh,vhigh,5more,more,big,low,unacc
106,vhigh,vhigh,5more,more,big,med,unacc
107,vhigh,vhigh,5more,more,big,high,unacc
108,vhigh,high,two,two,small,low,unacc
109,vhigh,high,two,two,small,med,unacc
110,vhigh,high,two,two,small,high,unacc
111,vhigh,high,two,two,med,low,unacc
112,vhigh,high,two,two,med,med,unacc
113,vhigh,high,two,two,med,high,unacc
114,vhigh,high,two,two,big,low,unacc
115,vhigh,high,two,two,big,med,unacc
116,vhigh,high,two,two,big,high,unacc
117,vhigh,high,two,four,small,low,unacc
118,vhigh,high,two,four,small,med,unacc
119,vhigh,high,two,four,small,high,unacc
120,vhigh,high,two,four,med,low,unacc
121,vhigh,high,two,four,med,med,unacc
122,vhigh,high,two,four,med,high,unacc
123,vhigh,high,two,four,big,low,unacc
124,vhigh,high,two,four,big,med,unacc
125,vhigh,high,two,four,big,high,unacc
126,vhigh,high,two,more,small,low,unacc
127,vhigh,high,two,more,small,med,unacc
128,vhigh,high,two,more,small,high,unacc
129,vhigh,high,two,more,med,low,unacc
130,vhigh,high,two,more,med,med,unacc
131,vhigh,high,two,more,med,high,unacc
132,vhigh,high,two,more,big,low,unacc
133,vhigh,high,two,more,big,med,unacc
134,vhigh,high,two,more,big,high,unacc
135,vhigh,high,three,two,small,low,unacc
136,vhigh,high,three,two,small,med,unacc
137,vhigh,high,three,two,small,high,unacc
138,vhigh,high,three,two,med,low,unacc
139,vhigh,high,three,two,med,med,unacc
140,vhigh,high,three,two,med,high,unacc
141,vhigh,high,three,two,big,low,unacc
142,vhigh,high,three,two,big,med,unacc
143,vhigh,high,three,two,big,high,unacc
144,vhigh,high,three,four,small,low,unacc
145,vhigh,high,three,four,small,med,unacc
146,vhigh,high,three,four,small,high,unacc
147,vhigh,high,three,four,med,low,unacc
148,vhigh,high,three,four,med,med,unacc
149,vhigh,high,three,four,med,high,unacc
150,vhigh,high,three,four,big,low,unacc
151,vhigh,high,three,four,big,med,unacc
152,vhigh,high,three,four,big,high,unacc
153,vhigh,high,three,more,small,low,unacc
154,vhigh,high,three,more,small,med,unacc
155,vhigh,high,three,more,small,high,unacc
156,vhigh,high,three,more,med,low,unacc
157,vhigh,high,three,more,med,med,unacc
158,vhigh,high,three,more,med,high,unacc
159,vhigh,high,three,more,big,low,unacc
160,vhigh,high,three,more,big,med,unacc
161,vhigh,high,three,more,big,high,unacc
162,vhigh,high,four,two,small,low,unacc
163,vhigh,high,four,two,small,med,unacc
164,vhigh,high,four,two,small,high,unacc
165,vhigh,high,four,two,med,low,unacc
166,vhigh,high,four,two,med,med,unacc
167,vhigh,high,four,two,med,high,unacc
168,vhigh,high,four,two,big,low,unacc
169,vhigh,high,four,two,big,med,unacc
170,vhigh,high,four,two,big,high,unacc
171,vhigh,high,four,four,small,low,unacc
172,vhigh,high,four,four,small,med,unacc
173,vhigh,high,four,four,small,high,unacc
174,vhigh,high,four,four,med,low,unacc
175,vhigh,high,four,four,med,med,unacc
176,vhigh,high,four,four,med,high,unacc
177,vhigh,high,four,four,big,low,unacc
178,vhigh,high,four,four,big,med,unacc
179,vhigh,high,four,four,big,high,unacc
180,vhigh,high,four,more,small,low,unacc
181,vhigh,high,four,more,small,med,unacc
182,vhigh,high,four,more,small,high,unacc
183,vhigh,high,four,more,med,low,unacc
184,vhigh,high,four,more,med,med,unacc
185,vhigh,high,four,more,med,high,unacc
186,vhigh,high,four,more,big,low,unacc
187,vhigh,high,four,more,big,med,unacc
188,vhigh,high,four,more,big,high,unacc
189,vhigh,high,5more,two,small,low,unacc
190,vhigh,high,5more,two,small,med,unacc
191,vhigh,high,5more,two,small,high,unacc
192,vhigh,high,5more,two,med,low,unacc
193,vhigh,high,5more,two,med,med,unacc
194,vhigh,high,5more,two,med,high,unacc
195,vhigh,high,5more,two,big,low,unacc
196,vhigh,high,5more,two,big,med,unacc
197,vhigh,high,5more,two,big,high,unacc
198,vhigh,high,5more,four,small,low,unacc
199,vhigh,high,5more,four,small,med,unacc
200,vhigh,high,5more,four,small,high,unacc
201,vhigh,high,5more,four,med,low,unacc
202,vhigh,high,5more,four,med,med,unacc
203,vhigh,high,5more,four,med,high,unacc
204,vhigh,high,5more,four,big,low,unacc
205,vhigh,high,5more,four,big,med,unacc
206,vhigh,high,5more,four,big,high,unacc
207,vhigh,high,5more,more,small,low,unacc
208,vhigh,high,5more,more,small,med,unacc
209,vhigh,high,5more,more,small,high,unacc
210,vhigh,high,5more,more,med,low,unacc
211,vhigh,high,5more,more,med,med,unacc
212,vhigh,high,5more,more,med,high,unacc
213,vhigh,high,5more,more,big,low,unacc
214,vhigh,high,5more,more,big,med,unacc
215,vhigh,high,5more,more,big,high,unacc
216,vhigh,med,two,two,small,low,unacc
217,vhigh,med,two,two,small,med,unacc
218,vhigh,med,two,two,small,high,unacc
219,vhigh,med,two,two,med,low,unacc
220,vhigh,med,two,two,med,med,unacc
221,vhigh,med,two,two,med,high,unacc
222,vhigh,med,two,two,big,low,unacc
223,vhigh,med,two,two,big,med,unacc
224,vhigh,med,two,two,big,high,unacc
225,vhigh,med,two,four,small,low,unacc
226,vhigh,med,two,four,small,med,unacc
227,vhigh,med,two,four,small,high,acc
228,vhigh,med,two,four,med,low,unacc
229,vhigh,med,two,four,med,med,unacc
230,vhigh,med,two,four,med,high,acc
231,vhigh,med,two,four,big,low,unacc
232,vhigh,med,two,four,big,med,acc
233,vhigh,med,two,four,big,high,acc
234,vhigh,med,two,more,small,low,unacc
235,vhigh,med,two,more,small,med,unacc
236,vhigh,med,two,more,small,high,unacc
237,vhigh,med,two,more,med,low,unacc
238,vhigh,med,two,more,med,med,unacc
239,vhigh,med,two,more,med,high,acc
240,vhigh,med,two,more,big,low,unacc
241,vhigh,med,two,more,big,med,acc
242,vhigh,med,two,more,big,high,acc
243,vhigh,med,three,two,small,low,unacc
244,vhigh,med,three,two,small,med,unacc
245,vhigh,med,three,two,small,high,unacc
246,vhigh,med,three,two,med,low,unacc
247,vhigh,med,three,two,med,med,unacc
248,vhigh,med,three,two,med,high,unacc
249,vhigh,med,three,two,big,low,unacc
250,vhigh,med,three,two,big,med,unacc
251,vhigh,med,three,two,big,high,unacc
252,vhigh,med,three,four,small,low,unacc
253,vhigh,med,three,four,small,med,unacc
254,vhigh,med,three,four,small,high,acc
255,vhigh,med,three,four,med,low,unacc
256,vhigh,med,three,four,med,med,unacc
257,vhigh,med,three,four,med,high,acc
258,vhigh,med,three,four,big,low,unacc
259,vhigh,med,three,four,big,med,acc
260,vhigh,med,three,four,big,high,acc
261,vhigh,med,three,more,small,low,unacc
262,vhigh,med,three,more,small,med,unacc
263,vhigh,med,three,more,small,high,acc
264,vhigh,med,three,more,med,low,unacc
265,vhigh,med,three,more,med,med,acc
266,vhigh,med,three,more,med,high,acc
267,vhigh,med,three,more,big,low,unacc
268,vhigh,med,three,more,big,med,acc
269,vhigh,med,three,more,big,high,acc
270,vhigh,med,four,two,small,low,unacc
271,vhigh,med,four,two,small,med,unacc
272,vhigh,med,four,two,small,high,unacc
273,vhigh,med,four,two,med,low,unacc
274,vhigh,med,four,two,med,med,unacc
275,vhigh,med,four,two,med,high,unacc
276,vhigh,med,four,two,big,low,unacc
277,vhigh,med,four,two,big,med,unacc
278,vhigh,med,four,two,big,high,unacc
279,vhigh,med,four,four,small,low,unacc
280,vhigh,med,four,four,small,med,unacc
281,vhigh,med,four,four,small,high,acc
282,vhigh,med,four,four,med,low,unacc
283,vhigh,med,four,four,med,med,acc
284,vhigh,med,four,four,med,high,acc
285,vhigh,med,four,four,big,low,unacc
286,vhigh,med,four,four,big,med,acc
287,vhigh,med,four,four,big,high,acc
288,vhigh,med,four,more,small,low,unacc
289,vhigh,med,four,more,small,med,unacc
290,vhigh,med,four,more,small,high,acc
291,vhigh,med,four,more,med,low,unacc
292,vhigh,med,four,more,med,med,acc
293,vhigh,med,four,more,med,high,acc
294,vhigh,med,four,more,big,low,unacc
295,vhigh,med,four,more,big,med,acc
296,vhigh,med,four,more,big,high,acc
297,vhigh,med,5more,two,small,low,unacc
298,vhigh,med,5more,two,small,med,unacc
299,vhigh,med,5more,two,small,high,unacc
300,vhigh,med,5more,two,med,low,unacc
301,vhigh,med,5more,two,med,med,unacc
302,vhigh,med,5more,two,med,high,unacc
303,vhigh,med,5more,two,big,low,unacc
304,vhigh,med,5more,two,big,med,unacc
305,vhigh,med,5more,two,big,high,unacc
306,vhigh,med,5more,four,small,low,unacc
307,vhigh,med,5more,four,small,med,unacc
308,vhigh,med,5more,four,small,high,acc
309,vhigh,med,5more,four,med,low,unacc
310,vhigh,med,5more,four,med,med,acc
311,vhigh,med,5more,four,med,high,acc
312,vhigh,med,5more,four,big,low,unacc
313,vhigh,med,5more,four,big,med,acc
314,vhigh,med,5more,four,big,high,acc
315,vhigh,med,5more,more,small,low,unacc
316,vhigh,med,5more,more,small,med,unacc
317,vhigh,med,5more,more,small,high,acc
318,vhigh,med,5more,more,med,low,unacc
319,vhigh,med,5more,more,med,med,acc
320,vhigh,med,5more,more,med,high,acc
321,vhigh,med,5more,more,big,low,unacc
322,vhigh,med,5more,more,big,med,acc
323,vhigh,med,5more,more,big,high,acc
324,vhigh,low,two,two,small,low,unacc
325,vhigh,low,two,two,small,med,unacc
326,vhigh,low,two,two,small,high,unacc
327,vhigh,low,two,two,med,low,unacc
328,vhigh,low,two,two,med,med,unacc
329,vhigh,low,two,two,med,high,unacc
330,vhigh,low,two,two,big,low,unacc
331,vhigh,low,two,two,big,med,unacc
332,vhigh,low,two,two,big,high,unacc
333,vhigh,low,two,four,small,low,unacc
334,vhigh,low,two,four,small,med,unacc
335,vhigh,low,two,four,small,high,acc
336,vhigh,low,two,four,med,low,unacc
337,vhigh,low,two,four,med,med,unacc
338,vhigh,low,two,four,med,high,acc
339,vhigh,low,two,four,big,low,unacc
340,vhigh,low,two,four,big,med,acc
341,vhigh,low,two,four,big,high,acc
342,vhigh,low,two,more,small,low,unacc
343,vhigh,low,two,more,small,med,unacc
344,vhigh,low,two,more,small,high,unacc
345,vhigh,low,two,more,med,low,unacc
346,vhigh,low,two,more,med,med,unacc
347,vhigh,low,two,more,med,high,acc
348,vhigh,low,two,more,big,low,unacc
349,vhigh,low,two,more,big,med,acc
350,vhigh,low,two,more,big,high,acc
351,vhigh,low,three,two,small,low,unacc
352,vhigh,low,three,two,small,med,unacc
353,vhigh,low,three,two,small,high,unacc
354,vhigh,low,three,two,med,low,unacc
355,vhigh,low,three,two,med,med,unacc
356,vhigh,low,three,two,med,high,unacc
357,vhigh,low,three,two,big,low,unacc
358,vhigh,low,three,two,big,med,unacc
359,vhigh,low,three,two,big,high,unacc
360,vhigh,low,three,four,small,low,unacc
361,vhigh,low,three,four,small,med,unacc
362,vhigh,low,three,four,small,high,acc
363,vhigh,low,three,four,med,low,unacc
364,vhigh,low,three,four,med,med,unacc
365,vhigh,low,three,four,med,high,acc
366,vhigh,low,three,four,big,low,unacc
367,vhigh,low,three,four,big,med,acc
368,vhigh,low,three,four,big,high,acc
369,vhigh,low,three,more,small,low,unacc
370,vhigh,low,three,more,small,med,unacc
371,vhigh,low,three,more,small,high,acc
372,vhigh,low,three,more,med,low,unacc
373,vhigh,low,three,more,med,med,acc
374,vhigh,low,three,more,med,high,acc
375,vhigh,low,three,more,big,low,unacc
376,vhigh,low,three,more,big,med,acc
377,vhigh,low,three,more,big,high,acc
378,vhigh,low,four,two,small,low,unacc
379,vhigh,low,four,two,small,med,unacc
380,vhigh,low,four,two,small,high,unacc
381,vhigh,low,four,two,med,low,unacc
382,vhigh,low,four,two,med,med,unacc
383,vhigh,low,four,two,med,high,unacc
384,vhigh,low,four,two,big,low,unacc
385,vhigh,low,four,two,big,med,unacc
386,vhigh,low,four,two,big,high,unacc
387,vhigh,low,four,four,small,low,unacc
388,vhigh,low,four,four,small,med,unacc
389,vhigh,low,four,four,small,high,acc
390,vhigh,low,four,four,med,low,unacc
391,vhigh,low,four,four,med,med,acc
392,vhigh,low,four,four,med,high,acc
393,vhigh,low,four,four,big,low,unacc
394,vhigh,low,four,four,big,med,acc
395,vhigh,low,four,four,big,high,acc
396,vhigh,low,four,more,small,low,unacc
397,vhigh,low,four,more,small,med,unacc
398,vhigh,low,four,more,small,high,acc
399,vhigh,low,four,more,med,low,unacc
400,vhigh,low,four,more,med,med,acc
401,vhigh,low,four,more,med,high,acc
402,vhigh,low,four,more,big,low,unacc
403,vhigh,low,four,more,big,med,acc
404,vhigh,low,four,more,big,high,acc
405,vhigh,low,5more,two,small,low,unacc
406,vhigh,low,5more,two,small,med,unacc
407,vhigh,low,5more,two,small,high,unacc
408,vhigh,low,5more,two,med,low,unacc
409,vhigh,low,5more,two,med,med,unacc
410,vhigh,low,5more,two,med,high,unacc
411,vhigh,low,5more,two,big,low,unacc
412,vhigh,low,5more,two,big,med,unacc
413,vhigh,low,5more,two,big,high,unacc
414,vhigh,low,5more,four,small,low,unacc
415,vhigh,low,5more,four,small,med,unacc
416,vhigh,low,5more,four,small,high,acc
417,vhigh,low,5more,four,med,low,unacc
418,vhigh,low,5more,four,med,med,acc
419,vhigh,low,5more,four,med,high,acc
420,vhigh,low,5more,four,big,low,unacc
421,vhigh,low,5more,four,big,med,acc
422,vhigh,low,5more,four,big,high,acc
423,vhigh,low,5more,more,small,low,unacc
424,vhigh,low,5more,more,small,med,unacc
425,vhigh,low,5more,more,small,high,acc
426,vhigh,low,5more,more,med,low,unacc
427,vhigh,low,5more,more,med,med,acc
428,vhigh,low,5more,more,med,high,acc
429,vhigh,low,5more,more,big,low,unacc
430,vhigh,low,5more,more,big,med,acc
431,vhigh,low,5more,more,big,high,acc
432,high,vhigh,two,two,small,low,unacc
433,high,vhigh,two,two,small,med,unacc
434,high,vhigh,two,two,small,high,unacc
435,high,vhigh,two,two,med,low,unacc
436,high,vhigh,two,two,med,med,unacc
437,high,vhigh,two,two,med,high,unacc
438,high,vhigh,two,two,big,low,unacc
439,high,vhigh,two,two,big,med,unacc
440,high,vhigh,two,two,big,high,unacc
441,high,vhigh,two,four,small,low,unacc
442,high,vhigh,two,four,small,med,unacc
443,high,vhigh,two,four,small,high,unacc
444,high,vhigh,two,four,med,low,unacc
445,high,vhigh,two,four,med,med,unacc
446,high,vhigh,two,four,med,high,unacc
447,high,vhigh,two,four,big,low,unacc
448,high,vhigh,two,four,big,med,unacc
449,high,vhigh,two,four,big,high,unacc
450,high,vhigh,two,more,small,low,unacc
451,high,vhigh,two,more,small,med,unacc
452,high,vhigh,two,more,small,high,unacc
453,high,vhigh,two,more,med,low,unacc
454,high,vhigh,two,more,med,med,unacc
455,high,vhigh,two,more,med,high,unacc
456,high,vhigh,two,more,big,low,unacc
457,high,vhigh,two,more,big,med,unacc
458,high,vhigh,two,more,big,high,unacc
459,high,vhigh,three,two,small,low,unacc
460,high,vhigh,three,two,small,med,unacc
461,high,vhigh,three,two,small,high,unacc
462,high,vhigh,three,two,med,low,unacc
463,high,vhigh,three,two,med,med,unacc
464,high,vhigh,three,two,med,high,unacc
465,high,vhigh,three,two,big,low,unacc
466,high,vhigh,three,two,big,med,unacc
467,high,vhigh,three,two,big,high,unacc
468,high,vhigh,three,four,small,low,unacc
469,high,vhigh,three,four,small,med,unacc
470,high,vhigh,three,four,small,high,unacc
471,high,vhigh,three,four,med,low,unacc
472,high,vhigh,three,four,med,med,unacc
473,high,vhigh,three,four,med,high,unacc
474,high,vhigh,three,four,big,low,unacc
475,high,vhigh,three,four,big,med,unacc
476,high,vhigh,three,four,big,high,unacc
477,high,vhigh,three,more,small,low,unacc
478,high,vhigh,three,more,small,med,unacc
479,high,vhigh,three,more,small,high,unacc
480,high,vhigh,three,more,med,low,unacc
481,high,vhigh,three,more,med,med,unacc
482,high,vhigh,three,more,med,high,unacc
483,high,vhigh,three,more,big,low,unacc
484,high,vhigh,three,more,big,med,unacc
485,high,vhigh,three,more,big,high,unacc
486,high,vhigh,four,two,small,low,unacc
487,high,vhigh,four,two,small,med,unacc
488,high,vhigh,four,two,small,high,unacc
489,high,vhigh,four,two,med,low,unacc
490,high,vhigh,four,two,med,med,unacc
491,high,vhigh,four,two,med,high,unacc
492,high,vhigh,four,two,big,low,unacc
493,high,vhigh,four,two,big,med,unacc
494,high,vhigh,four,two,big,high,unacc
495,high,vhigh,four,four,small,low,unacc
496,high,vhigh,four,four,small,med,unacc
497,high,vhigh,four,four,small,high,unacc
498,high,vhigh,four,four,med,low,unacc
499,high,vhigh,four,four,med,med,unacc
500,high,vhigh,four,four,med,high,unacc
501,high,vhigh,four,four,big,low,unacc
502,high,vhigh,four,four,big,med,unacc
503,high,vhigh,four,four,big,high,unacc
504,high,vhigh,four,more,small,low,unacc
505,high,vhigh,four,more,small,med,unacc
506,high,vhigh,four,more,small,high,unacc
507,high,vhigh,four,more,med,low,unacc
508,high,vhigh,four,more,med,med,unacc
509,high,vhigh,four,more,med,high,unacc
510,high,vhigh,four,more,big,low,unacc
511,high,vhigh,four,more,big,med,unacc
512,high,vhigh,four,more,big,high,unacc
513,high,vhigh,5more,two,small,low,unacc
514,high,vhigh,5more,two,small,med,unacc
515,high,vhigh,5more,two,small,high,unacc
516,high,vhigh,5more,two,med,low,unacc
517,high,vhigh,5more,two,med,med,unacc
518,high,vhigh,5more,two,med,high,unacc
519,high,vhigh,5more,two,big,low,unacc
520,high,vhigh,5more,two,big,med,unacc
521,high,vhigh,5more,two,big,high,unacc
522,high,vhigh,5more,four,small,low,unacc
523,high,vhigh,5more,four,small,med,unacc
524,high,vhigh,5more,four,small,high,unacc
525,high,vhigh,5more,four,med,low,unacc
526,high,vhigh,5more,four,med,med,unacc
527,high,vhigh,5more,four,med,high,unacc
528,high,vhigh,5more,four,big,low,unacc
529,high,vhigh,5more,four,big,med,unacc
530,high,vhigh,5more,four,big,high,unacc
531,high,vhigh,5more,more,small,low,unacc
532,high,vhigh,5more,more,small,med,unacc
533,high,vhigh,5more,more,small,high,unacc
534,high,vhigh,5more,more,med,low,unacc
535,high,vhigh,5more,more,med,med,unacc
536,high,vhigh,5more,more,med,high,unacc
537,high,vhigh,5more,more,big,low,unacc
538,high,vhigh,5more,more,big,med,unacc
539,high,vhigh,5more,more,big,high,unacc
540,high,high,two,two,small,low,unacc
541,high,high,two,two,small,med,unacc
542,high,high,two,two,small,high,unacc
543,high,high,two,two,med,low,unacc
544,high,high,two,two,med,med,unacc
545,high,high,two,two,med,high,unacc
546,high,high,two,two,big,low,unacc
547,high,high,two,two,big,med,unacc
548,high,high,two,two,big,high,unacc
549,high,high,two,four,small,low,unacc
550,high,high,two,four,small,med,unacc
551,high,high,two,four,small,high,acc
552,high,high,two,four,med,low,unacc
553,high,high,two,four,med,med,unacc
554,high,high,two,four,med,high,acc
555,high,high,two,four,big,low,unacc
556,high,high,two,four,big,med,acc
557,high,high,two,four,big,high,acc
558,high,high,two,more,small,low,unacc
559,high,high,two,more,small,med,unacc
560,high,high,two,more,small,high,unacc
561,high,high,two,more,med,low,unacc
562,high,high,two,more,med,med,unacc
563,high,high,two,more,med,high,acc
564,high,high,two,more,big,low,unacc
565,high,high,two,more,big,med,acc
566,high,high,two,more,big,high,acc
567,high,high,three,two,small,low,unacc
568,high,high,three,two,small,med,unacc
569,high,high,three,two,small,high,unacc
570,high,high,three,two,med,low,unacc
571,high,high,three,two,med,med,unacc
572,high,high,three,two,med,high,unacc
573,high,high,three,two,big,low,unacc
574,high,high,three,two,big,med,unacc
575,high,high,three,two,big,high,unacc
576,high,high,three,four,small,low,unacc
577,high,high,three,four,small,med,unacc
578,high,high,three,four,small,high,acc
579,high,high,three,four,med,low,unacc
580,high,high,three,four,med,med,unacc
581,high,high,three,four,med,high,acc
582,high,high,three,four,big,low,unacc
583,high,high,three,four,big,med,acc
584,high,high,three,four,big,high,acc
585,high,high,three,more,small,low,unacc
586,high,high,three,more,small,med,unacc
587,high,high,three,more,small,high,acc
588,high,high,three,more,med,low,unacc
589,high,high,three,more,med,med,acc
590,high,high,three,more,med,high,acc
591,high,high,three,more,big,low,unacc
592,high,high,three,more,big,med,acc
593,high,high,three,more,big,high,acc
594,high,high,four,two,small,low,unacc
595,high,high,four,two,small,med,unacc
596,high,high,four,two,small,high,unacc
597,high,high,four,two,med,low,unacc
598,high,high,four,two,med,med,unacc
599,high,high,four,two,med,high,unacc
600,high,high,four,two,big,low,unacc
601,high,high,four,two,big,med,unacc
602,high,high,four,two,big,high,unacc
603,high,high,four,four,small,low,unacc
604,high,high,four,four,small,med,unacc
605,high,high,four,four,small,high,acc
606,high,high,four,four,med,low,unacc
607,high,high,four,four,med,med,acc
608,high,high,four,four,med,high,acc
609,high,high,four,four,big,low,unacc
610,high,high,four,four,big,med,acc
611,high,high,four,four,big,high,acc
612,high,high,four,more,small,low,unacc
613,high,high,four,more,small,med,unacc
614,high,high,four,more,small,high,acc
615,high,high,four,more,med,low,unacc
616,high,high,four,more,med,med,acc
617,high,high,four,more,med,high,acc
618,high,high,four,more,big,low,unacc
619,high,high,four,more,big,med,acc
620,high,high,four,more,big,high,acc
621,high,high,5more,two,small,low,unacc
622,high,high,5more,two,small,med,unacc
623,high,high,5more,two,small,high,unacc
624,high,high,5more,two,med,low,unacc
625,high,high,5more,two,med,med,unacc
626,high,high,5more,two,med,high,unacc
627,high,high,5more,two,big,low,unacc
628,high,high,5more,two,big,med,unacc
629,high,high,5more,two,big,high,unacc
630,high,high,5more,four,small,low,unacc
631,high,high,5more,four,small,med,unacc
632,high,high,5more,four,small,high,acc
633,high,high,5more,four,med,low,unacc
634,high,high,5more,four,med,med,acc
635,high,high,5more,four,med,high,acc
636,high,high,5more,four,big,low,unacc
637,high,high,5more,four,big,med,acc
638,high,high,5more,four,big,high,acc
639,high,high,5more,more,small,low,unacc
640,high,high,5more,more,small,med,unacc
641,high,high,5more,more,small,high,acc
642,high,high,5more,more,med,low,unacc
643,high,high,5more,more,med,med,acc
644,high,high,5more,more,med,high,acc
645,high,high,5more,more,big,low,unacc
646,high,high,5more,more,big,med,acc
647,high,high,5more,more,big,high,acc
648,high,med,two,two,small,low,unacc
649,high,med,two,two,small,med,unacc
650,high,med,two,two,small,high,unacc
651,high,med,two,two,med,low,unacc
652,high,med,two,two,med,med,unacc
653,high,med,two,two,med,high,unacc
654,high,med,two,two,big,low,unacc
655,high,med,two,two,big,med,unacc
656,high,med,two,two,big,high,unacc
657,high,med,two,four,small,low,unacc
658,high,med,two,four,small,med,unacc
659,high,med,two,four,small,high,acc
660,high,med,two,four,med,low,unacc
661,high,med,two,four,med,med,unacc
662,high,med,two,four,med,high,acc
663,high,med,two,four,big,low,unacc
